,month,Thickness
322,2005-11,1.2881333333333334
323,2005-12,1.367709677419355
324,2006-01,1.5408387096774192
325,2006-02,1.6873928571428571
326,2006-03,1.8137096774193548
327,2006-04,1.9665666666666666
328,2006-05,2.059322580645161
329,2006-06,1.9499666666666668
330,2006-07,1.6500967741935484
331,2006-08,1.4582903225806452
332,2006-09,1.4433
333,2006-10,1.2894516129032259
334,2006-11,1.2691333333333332
335,2006-12,1.318774193548387
336,2007-01,1.428258064516129
337,2007-02,1.5536428571428573
338,2007-03,1.7103870967741934
339,2007-04,1.8198333333333332
340,2007-05,1.9018064516129034
341,2007-06,1.7757666666666667
342,2007-07,1.542741935483871
343,2007-08,1.4701290322580645
344,2007-09,1.5299333333333331
345,2007-10,1.4102258064516129
346,2007-11,1.1855666666666667
347,2007-12,1.2813548387096774
348,2008-01,1.436709677419355
349,2008-02,1.5690000000000002
350,2008-03,1.6999354838709677
351,2008-04,1.8443333333333334
352,2008-05,1.9216129032258065
353,2008-06,1.8539999999999999
354,2008-07,1.5588709677419357
355,2008-08,1.3525806451612903
356,2008-09,1.3801999999999999
357,2008-10,1.344483870967742
358,2008-11,1.2317
359,2008-12,1.3319032258064516
360,2009-01,1.456225806451613
361,2009-02,1.6090357142857141
362,2009-03,1.743516129032258
363,2009-04,1.8517666666666666
364,2009-05,1.9204838709677419
365,2009-06,1.7903
366,2009-07,1.4937096774193548
367,2009-08,1.3544193548387098
368,2009-09,1.364
369,2009-10,1.2255806451612903
370,2009-11,1.1867666666666667
371,2009-12,1.258225806451613
372,2010-01,1.408741935483871
373,2010-02,1.5582857142857143
374,2010-03,1.6643548387096774
375,2010-04,1.7788666666666666
376,2010-05,1.8233870967741934
377,2010-06,1.6807666666666667
378,2010-07,1.308516129032258
379,2010-08,1.041483870967742
380,2010-09,1.0086666666666666
381,2010-10,1.0139354838709678
382,2010-11,1.0604333333333333
383,2010-12,1.1887096774193548
384,2011-01,1.320483870967742
385,2011-02,1.483
386,2011-03,1.6139354838709676
387,2011-04,1.7216333333333333
388,2011-05,1.7742258064516128
389,2011-06,1.6008666666666664
390,2011-07,1.2730322580645161
391,2011-08,1.0327096774193547
392,2011-09,1.0202666666666667
393,2011-10,1.0188709677419354
394,2011-11,1.0215666666666665
395,2011-12,1.1571612903225807
396,2012-01,1.3291935483870967
397,2012-02,1.4730357142857142
398,2012-03,1.5820967741935485
399,2012-04,1.7094999999999998
400,2012-05,1.7545483870967742
401,2012-06,1.5673666666666668
402,2012-07,1.270774193548387
403,2012-08,1.0749677419354837
404,2012-09,1.1424999999999998
405,2012-10,1.0526451612903225
406,2012-11,0.9654333333333334
407,2012-12,1.1046774193548385
408,2013-01,1.2685806451612904
409,2013-02,1.4523928571428573
410,2013-03,1.6055161290322582
411,2013-04,1.7448000000000001
412,2013-05,1.7851935483870969
413,2013-06,1.6262
414,2013-07,1.333
415,2013-08,1.104258064516129
416,2013-09,1.0953666666666668
417,2013-10,1.0525483870967742
418,2013-11,1.0976333333333335
419,2013-12,1.213032258064516
420,2014-01,1.3986774193548388
421,2014-02,1.5287857142857142
422,2014-03,1.6335806451612902
423,2014-04,1.7727
424,2014-05,1.8186129032258065
425,2014-06,1.6861333333333335
426,2014-07,1.548258064516129
427,2014-08,1.4065161290322579
428,2014-09,1.4198333333333333
429,2014-10,1.2935161290322579
430,2014-11,1.2215333333333334
431,2014-12,1.3097096774193548
432,2015-01,1.4780645161290322
433,2015-02,1.6275714285714287
434,2015-03,1.761290322580645
435,2015-04,1.8754
436,2015-05,1.9472258064516128
437,2015-06,1.8007
438,2015-07,1.4388064516129033
439,2015-08,1.2756451612903226
440,2015-09,1.3417
441,2015-10,1.1881290322580644
442,2015-11,1.1364333333333332
443,2015-12,1.2583870967741935
444,2016-01,1.4014193548387097
445,2016-02,1.5175714285714286
446,2016-03,1.6381935483870966
447,2016-04,1.7625333333333333
448,2016-05,1.8473870967741934
449,2016-06,1.6685
450,2016-07,1.3567741935483872
451,2016-08,1.1519032258064517
452,2016-09,1.1054666666666668
453,2016-10,1.0433548387096774
454,2016-11,1.0231333333333332
455,2016-12,1.0839354838709678
456,2017-01,1.2183870967741934
457,2017-02,1.3657857142857142
458,2017-03,1.520225806451613
459,2017-04,1.6255
460,2017-05,1.6653548387096773
461,2017-06,1.4899
462,2017-07,1.2222258064516127
463,2017-08,1.0816451612903226
464,2017-09,1.0608333333333333
465,2017-10,1.035967741935484
466,2017-11,1.0706333333333333
467,2017-12,1.1629354838709678
468,2018-01,1.3318387096774194
469,2018-02,1.4851428571428573
470,2018-03,1.6136129032258064
471,2018-04,1.7671999999999999
472,2018-05,1.8509354838709677
473,2018-06,1.6774333333333333
474,2018-07,1.300258064516129
475,2018-08,1.1427096774193548
476,2018-09,1.1063666666666667
477,2018-10,1.065
478,2018-11,1.0366666666666666
479,2018-12,1.1864838709677419
480,2019-01,1.361
481,2019-02,1.5300714285714285
482,2019-03,1.649483870967742
483,2019-04,1.8022333333333334
484,2019-05,1.7946451612903227
485,2019-06,1.5635333333333332
486,2019-07,1.2294193548387098
487,2019-08,1.0396129032258066
488,2019-09,1.0122
489,2019-10,1.0398064516129033
490,2019-11,1.005
491,2019-12,1.1278709677419354
492,2020-01,1.3078709677419353
493,2020-02,1.4742499999999998
494,2020-03,1.6289032258064517
495,2020-04,1.7801666666666667
496,2020-05,1.8328709677419355
497,2020-06,1.6257333333333333
498,2020-07,1.297
499,2020-08,1.068741935483871
500,2020-09,1.0637666666666667
501,2020-10,1.061516129032258
502,2020-11,0.9856999999999999
503,2020-12,1.0933870967741934
504,2021-01,1.268967741935484
505,2021-02,1.460535714285714
506,2021-03,1.6159677419354839
507,2021-04,1.7607333333333335
508,2021-05,1.812290322580645
509,2021-06,1.6240666666666668
510,2021-07,1.282774193548387
511,2021-08,1.0333225806451614
512,2021-09,1.0193333333333332
513,2021-10,1.0107741935483872
514,2021-11,1.0377333333333332
515,2021-12,1.1909677419354838
516,2022-01,1.338483870967742
517,2022-02,1.4782857142857142
518,2022-03,1.6323870967741936
519,2022-04,1.7771000000000001
520,2022-05,1.8054516129032259
521,2022-06,1.6344666666666667
522,2022-07,1.3306774193548387
523,2022-08,1.1019677419354839
524,2022-09,1.0930666666666666
525,2022-10,1.0869677419354837
526,2022-11,1.0816333333333332
527,2022-12,1.1905483870967741
528,2023-01,1.3370322580645162
529,2023-02,1.4922142857142855
530,2023-03,1.629741935483871
531,2023-04,1.7816
532,2023-05,1.8025483870967742
533,2023-06,1.6850333333333334
534,2023-07,1.3726451612903225
535,2023-08,1.1620967741935484
536,2023-09,1.1315666666666666
537,2023-10,1.0551935483870967
538,2023-11,1.0353
539,2023-12,1.153741935483871
540,2024-01,1.2841935483870968
541,2024-02,1.4321428571428572
542,2024-03,1.5725483870967742
543,2024-04,1.7442333333333333
